Total number of backward slices: 339
number of valid slices: 178
Number of matched slices: 175 percentage: 98.31
forward: aten::addmm 2427 backward: AddmmBackward0 2461
forward: aten::transpose 2425 backward: TBackward0 2487
forward: aten::_reshape_alias 2421 backward: ReshapeAliasBackward0 2496
forward: aten::relu_ 2412 backward: ReluBackward0 2507
forward: aten::add_ 2409 backward: AddBackward0 2511
forward: aten::cudnn_batch_norm 2397 backward: CudnnBatchNormBackward0 2513
forward: aten::_convolution 2384 backward: ConvolutionBackward0 2533
forward: aten::relu_ 2378 backward: ReluBackward0 2558
forward: aten::cudnn_batch_norm 2365 backward: CudnnBatchNormBackward0 2562
forward: aten::_convolution 2350 backward: ConvolutionBackward0 2582
forward: aten::relu_ 2344 backward: ReluBackward0 2610
forward: aten::cudnn_batch_norm 2331 backward: CudnnBatchNormBackward0 2614
forward: aten::_convolution 2299 backward: ConvolutionBackward0 2635
forward: aten::relu_ 2292 backward: ReluBackward0 2678
forward: aten::add_ 2289 backward: AddBackward0 2683
forward: aten::cudnn_batch_norm 2277 backward: CudnnBatchNormBackward0 2685
forward: aten::_convolution 2262 backward: ConvolutionBackward0 2705
forward: aten::relu_ 2256 backward: ReluBackward0 2728
forward: aten::cudnn_batch_norm 2243 backward: CudnnBatchNormBackward0 2732
forward: aten::_convolution 2229 backward: ConvolutionBackward0 2752
forward: aten::relu_ 2223 backward: ReluBackward0 2779
forward: aten::cudnn_batch_norm 2210 backward: CudnnBatchNormBackward0 2783
forward: aten::_convolution 2176 backward: ConvolutionBackward0 2803
forward: aten::relu_ 2169 backward: ReluBackward0 2847
forward: aten::add_ 2166 backward: AddBackward0 2852
forward: aten::cudnn_batch_norm 2152 backward: CudnnBatchNormBackward0 2854
forward: aten::_convolution 2139 backward: ConvolutionBackward0 2875
forward: aten::cudnn_batch_norm 2123 backward: CudnnBatchNormBackward0 2898
forward: aten::_convolution 2110 backward: ConvolutionBackward0 2918
forward: aten::relu_ 2104 backward: ReluBackward0 2941
forward: aten::cudnn_batch_norm 2091 backward: CudnnBatchNormBackward0 2945
forward: aten::_convolution 2077 backward: ConvolutionBackward0 2967
forward: aten::relu_ 2071 backward: ReluBackward0 2991
forward: aten::cudnn_batch_norm 2056 backward: CudnnBatchNormBackward0 2995
forward: aten::_convolution 2022 backward: ConvolutionBackward0 3016
forward: aten::relu_ 2013 backward: ReluBackward0 3060
forward: aten::add_ 2010 backward: AddBackward0 3064
forward: aten::cudnn_batch_norm 1998 backward: CudnnBatchNormBackward0 3066
forward: aten::_convolution 1963 backward: ConvolutionBackward0 3086
forward: aten::relu_ 1957 backward: ReluBackward0 3130
forward: aten::cudnn_batch_norm 1944 backward: CudnnBatchNormBackward0 3134
forward: aten::_convolution 1930 backward: ConvolutionBackward0 3154
forward: aten::relu_ 1923 backward: ReluBackward0 3179
forward: aten::cudnn_batch_norm 1910 backward: CudnnBatchNormBackward0 3183
forward: aten::_convolution 1877 backward: ConvolutionBackward0 3203
forward: aten::relu_ 1870 backward: ReluBackward0 3232
forward: aten::add_ 1867 backward: AddBackward0 3237
forward: aten::cudnn_batch_norm 1854 backward: CudnnBatchNormBackward0 3239
forward: aten::_convolution 1821 backward: ConvolutionBackward0 3260
forward: aten::relu_ 1815 backward: ReluBackward0 3309
forward: aten::cudnn_batch_norm 1802 backward: CudnnBatchNormBackward0 3313
forward: aten::_convolution 1788 backward: ConvolutionBackward0 3333
forward: aten::relu_ 1782 backward: ReluBackward0 3367
forward: aten::cudnn_batch_norm 1768 backward: CudnnBatchNormBackward0 3373
forward: aten::_convolution 1735 backward: ConvolutionBackward0 3394
forward: aten::relu_ 1728 backward: ReluBackward0 3428
forward: aten::add_ 1725 backward: AddBackward0 3434
forward: aten::cudnn_batch_norm 1713 backward: CudnnBatchNormBackward0 3436
forward: aten::_convolution 1680 backward: ConvolutionBackward0 3456
forward: aten::relu_ 1672 backward: ReluBackward0 3503
forward: aten::cudnn_batch_norm 1659 backward: CudnnBatchNormBackward0 3508
forward: aten::_convolution 1645 backward: ConvolutionBackward0 3529
forward: aten::relu_ 1639 backward: ReluBackward0 3563
forward: aten::cudnn_batch_norm 1626 backward: CudnnBatchNormBackward0 3568
forward: aten::_convolution 1591 backward: ConvolutionBackward0 3589
forward: aten::relu_ 1584 backward: ReluBackward0 3625
forward: aten::add_ 1581 backward: AddBackward0 3629
forward: aten::cudnn_batch_norm 1569 backward: CudnnBatchNormBackward0 3632
forward: aten::_convolution 1534 backward: ConvolutionBackward0 3653
forward: aten::relu_ 1528 backward: ReluBackward0 3699
forward: aten::cudnn_batch_norm 1515 backward: CudnnBatchNormBackward0 3704
forward: aten::_convolution 1501 backward: ConvolutionBackward0 3726
forward: aten::relu_ 1495 backward: ReluBackward0 3759
forward: aten::cudnn_batch_norm 1482 backward: CudnnBatchNormBackward0 3764
forward: aten::_convolution 1449 backward: ConvolutionBackward0 3786
forward: aten::relu_ 1442 backward: ReluBackward0 3820
forward: aten::add_ 1439 backward: AddBackward0 3826
forward: aten::cudnn_batch_norm 1425 backward: CudnnBatchNormBackward0 3828
forward: aten::_convolution 1391 backward: ConvolutionBackward0 3848
forward: aten::relu_ 1385 backward: ReluBackward0 3895
forward: aten::cudnn_batch_norm 1371 backward: CudnnBatchNormBackward0 3900
forward: aten::_convolution 1355 backward: ConvolutionBackward0 3922
forward: aten::relu_ 1349 backward: ReluBackward0 3955
forward: aten::cudnn_batch_norm 1336 backward: CudnnBatchNormBackward0 3961
forward: aten::_convolution 1303 backward: ConvolutionBackward0 3984
forward: aten::relu_ 1296 backward: ReluBackward0 4017
forward: aten::add_ 1292 backward: AddBackward0 4021
forward: aten::cudnn_batch_norm 1280 backward: CudnnBatchNormBackward0 4023
forward: aten::_convolution 1267 backward: ConvolutionBackward0 4044
forward: aten::cudnn_batch_norm 1251 backward: CudnnBatchNormBackward0 4079
forward: aten::_convolution 1217 backward: ConvolutionBackward0 4101
forward: aten::relu_ 1211 backward: ReluBackward0 4148
forward: aten::cudnn_batch_norm 1198 backward: CudnnBatchNormBackward0 4152
forward: aten::_convolution 1183 backward: ConvolutionBackward0 4173
forward: aten::relu_ 1177 backward: ReluBackward0 4212
forward: aten::cudnn_batch_norm 1164 backward: CudnnBatchNormBackward0 4217
forward: aten::_convolution 1131 backward: ConvolutionBackward0 4240
forward: aten::relu_ 1122 backward: ReluBackward0 4304
forward: aten::add_ 1119 backward: AddBackward0 4309
forward: aten::cudnn_batch_norm 1107 backward: CudnnBatchNormBackward0 4311
forward: aten::_convolution 1074 backward: ConvolutionBackward0 4331
forward: aten::relu_ 1068 backward: ReluBackward0 4393
forward: aten::cudnn_batch_norm 1055 backward: CudnnBatchNormBackward0 4397
forward: aten::_convolution 1040 backward: ConvolutionBackward0 4418
forward: aten::relu_ 1033 backward: ReluBackward0 4456
forward: aten::cudnn_batch_norm 1019 backward: CudnnBatchNormBackward0 4461
forward: aten::_convolution 986 backward: ConvolutionBackward0 4484
forward: aten::relu_ 979 backward: ReluBackward0 4549
forward: aten::add_ 976 backward: AddBackward0 4554
forward: aten::cudnn_batch_norm 964 backward: CudnnBatchNormBackward0 4556
forward: aten::_convolution 931 backward: ConvolutionBackward0 4577
forward: aten::relu_ 924 backward: ReluBackward0 4641
forward: aten::cudnn_batch_norm 910 backward: CudnnBatchNormBackward0 4646
forward: aten::_convolution 895 backward: ConvolutionBackward0 4667
forward: aten::relu_ 887 backward: ReluBackward0 4705
forward: aten::cudnn_batch_norm 874 backward: CudnnBatchNormBackward0 4710
forward: aten::_convolution 841 backward: ConvolutionBackward0 4732
forward: aten::relu_ 834 backward: ReluBackward0 4799
forward: aten::add_ 831 backward: AddBackward0 4803
forward: aten::cudnn_batch_norm 819 backward: CudnnBatchNormBackward0 4805
forward: aten::_convolution 786 backward: ConvolutionBackward0 4826
forward: aten::relu_ 780 backward: ReluBackward0 4890
forward: aten::cudnn_batch_norm 767 backward: CudnnBatchNormBackward0 4895
forward: aten::_convolution 750 backward: ConvolutionBackward0 4917
forward: aten::relu_ 744 backward: ReluBackward0 4954
forward: aten::cudnn_batch_norm 730 backward: CudnnBatchNormBackward0 4959
forward: aten::_convolution 696 backward: ConvolutionBackward0 4980
forward: aten::relu_ 689 backward: ReluBackward0 5048
forward: aten::add_ 684 backward: AddBackward0 5052
forward: aten::cudnn_batch_norm 672 backward: CudnnBatchNormBackward0 5054
forward: aten::_convolution 659 backward: ConvolutionBackward0 5075
forward: aten::cudnn_batch_norm 643 backward: CudnnBatchNormBackward0 5098
forward: aten::_convolution 609 backward: ConvolutionBackward0 5118
forward: aten::relu_ 603 backward: ReluBackward0 5183
forward: aten::cudnn_batch_norm 590 backward: CudnnBatchNormBackward0 5187
forward: aten::_convolution 575 backward: ConvolutionBackward0 5208
forward: aten::relu_ 569 backward: ReluBackward0 5245
forward: aten::cudnn_batch_norm 555 backward: CudnnBatchNormBackward0 5250
forward: aten::_convolution 522 backward: ConvolutionBackward0 5271
forward: aten::relu_ 514 backward: ReluBackward0 5338
forward: aten::add_ 511 backward: AddBackward0 5343
forward: aten::cudnn_batch_norm 499 backward: CudnnBatchNormBackward0 5345
forward: aten::_convolution 466 backward: ConvolutionBackward0 5367
forward: aten::relu_ 460 backward: ReluBackward0 5430
forward: aten::cudnn_batch_norm 446 backward: CudnnBatchNormBackward0 5435
forward: aten::_convolution 433 backward: ConvolutionBackward0 5457
forward: aten::relu_ 427 backward: ReluBackward0 5493
forward: aten::cudnn_batch_norm 414 backward: CudnnBatchNormBackward0 5499
forward: aten::_convolution 381 backward: ConvolutionBackward0 5519
forward: aten::relu_ 374 backward: ReluBackward0 5586
forward: aten::add_ 371 backward: AddBackward0 5591
forward: aten::cudnn_batch_norm 359 backward: CudnnBatchNormBackward0 5593
forward: aten::_convolution 324 backward: ConvolutionBackward0 5614
forward: aten::relu_ 318 backward: ReluBackward0 5678
forward: aten::cudnn_batch_norm 305 backward: CudnnBatchNormBackward0 5683
forward: aten::_convolution 292 backward: ConvolutionBackward0 5705
forward: aten::relu_ 286 backward: ReluBackward0 5741
forward: aten::cudnn_batch_norm 273 backward: CudnnBatchNormBackward0 5746
forward: aten::_convolution 240 backward: ConvolutionBackward0 5767
forward: aten::relu_ 232 backward: ReluBackward0 5834
forward: aten::add_ 228 backward: AddBackward0 5840
forward: aten::cudnn_batch_norm 216 backward: CudnnBatchNormBackward0 5842
forward: aten::_convolution 183 backward: ConvolutionBackward0 5862
forward: aten::cudnn_batch_norm 167 backward: CudnnBatchNormBackward0 5926
forward: aten::_convolution 134 backward: ConvolutionBackward0 5947
