Total number of backward slices: 339
number of valid slices: 178
Number of matched slices: 175 percentage: 98.31
forward: aten::addmm 2419 backward: AddmmBackward0 2453
forward: aten::transpose 2417 backward: TBackward0 2479
forward: aten::_reshape_alias 2413 backward: ReshapeAliasBackward0 2488
forward: aten::relu_ 2405 backward: ReluBackward0 2499
forward: aten::add_ 2402 backward: AddBackward0 2503
forward: aten::cudnn_batch_norm 2388 backward: CudnnBatchNormBackward0 2505
forward: aten::_convolution 2375 backward: ConvolutionBackward0 2526
forward: aten::relu_ 2369 backward: ReluBackward0 2549
forward: aten::cudnn_batch_norm 2356 backward: CudnnBatchNormBackward0 2553
forward: aten::_convolution 2342 backward: ConvolutionBackward0 2573
forward: aten::relu_ 2336 backward: ReluBackward0 2601
forward: aten::cudnn_batch_norm 2322 backward: CudnnBatchNormBackward0 2605
forward: aten::_convolution 2289 backward: ConvolutionBackward0 2625
forward: aten::relu_ 2280 backward: ReluBackward0 2669
forward: aten::add_ 2277 backward: AddBackward0 2673
forward: aten::cudnn_batch_norm 2265 backward: CudnnBatchNormBackward0 2675
forward: aten::_convolution 2252 backward: ConvolutionBackward0 2696
forward: aten::relu_ 2246 backward: ReluBackward0 2721
forward: aten::cudnn_batch_norm 2233 backward: CudnnBatchNormBackward0 2726
forward: aten::_convolution 2219 backward: ConvolutionBackward0 2746
forward: aten::relu_ 2213 backward: ReluBackward0 2773
forward: aten::cudnn_batch_norm 2200 backward: CudnnBatchNormBackward0 2777
forward: aten::_convolution 2166 backward: ConvolutionBackward0 2797
forward: aten::relu_ 2159 backward: ReluBackward0 2839
forward: aten::add_ 2155 backward: AddBackward0 2843
forward: aten::cudnn_batch_norm 2143 backward: CudnnBatchNormBackward0 2845
forward: aten::_convolution 2129 backward: ConvolutionBackward0 2865
forward: aten::cudnn_batch_norm 2111 backward: CudnnBatchNormBackward0 2890
forward: aten::_convolution 2098 backward: ConvolutionBackward0 2910
forward: aten::relu_ 2092 backward: ReluBackward0 2934
forward: aten::cudnn_batch_norm 2079 backward: CudnnBatchNormBackward0 2939
forward: aten::_convolution 2064 backward: ConvolutionBackward0 2959
forward: aten::relu_ 2058 backward: ReluBackward0 2983
forward: aten::cudnn_batch_norm 2045 backward: CudnnBatchNormBackward0 2987
forward: aten::_convolution 2012 backward: ConvolutionBackward0 3007
forward: aten::relu_ 2004 backward: ReluBackward0 3053
forward: aten::add_ 2000 backward: AddBackward0 3057
forward: aten::cudnn_batch_norm 1988 backward: CudnnBatchNormBackward0 3059
forward: aten::_convolution 1955 backward: ConvolutionBackward0 3079
forward: aten::relu_ 1949 backward: ReluBackward0 3121
forward: aten::cudnn_batch_norm 1936 backward: CudnnBatchNormBackward0 3125
forward: aten::_convolution 1922 backward: ConvolutionBackward0 3146
forward: aten::relu_ 1916 backward: ReluBackward0 3181
forward: aten::cudnn_batch_norm 1902 backward: CudnnBatchNormBackward0 3186
forward: aten::_convolution 1869 backward: ConvolutionBackward0 3207
forward: aten::relu_ 1862 backward: ReluBackward0 3241
forward: aten::add_ 1859 backward: AddBackward0 3246
forward: aten::cudnn_batch_norm 1847 backward: CudnnBatchNormBackward0 3248
forward: aten::_convolution 1814 backward: ConvolutionBackward0 3269
forward: aten::relu_ 1808 backward: ReluBackward0 3316
forward: aten::cudnn_batch_norm 1793 backward: CudnnBatchNormBackward0 3322
forward: aten::_convolution 1779 backward: ConvolutionBackward0 3342
forward: aten::relu_ 1773 backward: ReluBackward0 3376
forward: aten::cudnn_batch_norm 1760 backward: CudnnBatchNormBackward0 3382
forward: aten::_convolution 1727 backward: ConvolutionBackward0 3403
forward: aten::relu_ 1719 backward: ReluBackward0 3437
forward: aten::add_ 1716 backward: AddBackward0 3443
forward: aten::cudnn_batch_norm 1703 backward: CudnnBatchNormBackward0 3445
forward: aten::_convolution 1670 backward: ConvolutionBackward0 3465
forward: aten::relu_ 1662 backward: ReluBackward0 3512
forward: aten::cudnn_batch_norm 1649 backward: CudnnBatchNormBackward0 3517
forward: aten::_convolution 1635 backward: ConvolutionBackward0 3538
forward: aten::relu_ 1629 backward: ReluBackward0 3572
forward: aten::cudnn_batch_norm 1616 backward: CudnnBatchNormBackward0 3577
forward: aten::_convolution 1583 backward: ConvolutionBackward0 3598
forward: aten::relu_ 1576 backward: ReluBackward0 3634
forward: aten::add_ 1573 backward: AddBackward0 3639
forward: aten::cudnn_batch_norm 1561 backward: CudnnBatchNormBackward0 3641
forward: aten::_convolution 1528 backward: ConvolutionBackward0 3662
forward: aten::relu_ 1522 backward: ReluBackward0 3708
forward: aten::cudnn_batch_norm 1509 backward: CudnnBatchNormBackward0 3713
forward: aten::_convolution 1495 backward: ConvolutionBackward0 3735
forward: aten::relu_ 1489 backward: ReluBackward0 3768
forward: aten::cudnn_batch_norm 1474 backward: CudnnBatchNormBackward0 3773
forward: aten::_convolution 1440 backward: ConvolutionBackward0 3795
forward: aten::relu_ 1433 backward: ReluBackward0 3829
forward: aten::add_ 1429 backward: AddBackward0 3835
forward: aten::cudnn_batch_norm 1417 backward: CudnnBatchNormBackward0 3837
forward: aten::_convolution 1382 backward: ConvolutionBackward0 3857
forward: aten::relu_ 1376 backward: ReluBackward0 3904
forward: aten::cudnn_batch_norm 1363 backward: CudnnBatchNormBackward0 3909
forward: aten::_convolution 1349 backward: ConvolutionBackward0 3931
forward: aten::relu_ 1343 backward: ReluBackward0 3964
forward: aten::cudnn_batch_norm 1329 backward: CudnnBatchNormBackward0 3970
forward: aten::_convolution 1296 backward: ConvolutionBackward0 3993
forward: aten::relu_ 1289 backward: ReluBackward0 4026
forward: aten::add_ 1286 backward: AddBackward0 4030
forward: aten::cudnn_batch_norm 1274 backward: CudnnBatchNormBackward0 4032
forward: aten::_convolution 1260 backward: ConvolutionBackward0 4053
forward: aten::cudnn_batch_norm 1244 backward: CudnnBatchNormBackward0 4088
forward: aten::_convolution 1211 backward: ConvolutionBackward0 4110
forward: aten::relu_ 1205 backward: ReluBackward0 4157
forward: aten::cudnn_batch_norm 1192 backward: CudnnBatchNormBackward0 4161
forward: aten::_convolution 1177 backward: ConvolutionBackward0 4182
forward: aten::relu_ 1170 backward: ReluBackward0 4221
forward: aten::cudnn_batch_norm 1157 backward: CudnnBatchNormBackward0 4227
forward: aten::_convolution 1124 backward: ConvolutionBackward0 4249
forward: aten::relu_ 1116 backward: ReluBackward0 4314
forward: aten::add_ 1113 backward: AddBackward0 4318
forward: aten::cudnn_batch_norm 1101 backward: CudnnBatchNormBackward0 4320
forward: aten::_convolution 1068 backward: ConvolutionBackward0 4340
forward: aten::relu_ 1061 backward: ReluBackward0 4402
forward: aten::cudnn_batch_norm 1047 backward: CudnnBatchNormBackward0 4406
forward: aten::_convolution 1032 backward: ConvolutionBackward0 4427
forward: aten::relu_ 1026 backward: ReluBackward0 4465
forward: aten::cudnn_batch_norm 1013 backward: CudnnBatchNormBackward0 4470
forward: aten::_convolution 980 backward: ConvolutionBackward0 4493
forward: aten::relu_ 973 backward: ReluBackward0 4558
forward: aten::add_ 970 backward: AddBackward0 4563
forward: aten::cudnn_batch_norm 958 backward: CudnnBatchNormBackward0 4565
forward: aten::_convolution 925 backward: ConvolutionBackward0 4586
forward: aten::relu_ 919 backward: ReluBackward0 4650
forward: aten::cudnn_batch_norm 906 backward: CudnnBatchNormBackward0 4655
forward: aten::_convolution 891 backward: ConvolutionBackward0 4676
forward: aten::relu_ 885 backward: ReluBackward0 4714
forward: aten::cudnn_batch_norm 872 backward: CudnnBatchNormBackward0 4719
forward: aten::_convolution 838 backward: ConvolutionBackward0 4741
forward: aten::relu_ 830 backward: ReluBackward0 4808
forward: aten::add_ 827 backward: AddBackward0 4812
forward: aten::cudnn_batch_norm 815 backward: CudnnBatchNormBackward0 4814
forward: aten::_convolution 782 backward: ConvolutionBackward0 4835
forward: aten::relu_ 776 backward: ReluBackward0 4899
forward: aten::cudnn_batch_norm 763 backward: CudnnBatchNormBackward0 4904
forward: aten::_convolution 748 backward: ConvolutionBackward0 4926
forward: aten::relu_ 742 backward: ReluBackward0 4963
forward: aten::cudnn_batch_norm 729 backward: CudnnBatchNormBackward0 4968
forward: aten::_convolution 695 backward: ConvolutionBackward0 4989
forward: aten::relu_ 688 backward: ReluBackward0 5057
forward: aten::add_ 685 backward: AddBackward0 5061
forward: aten::cudnn_batch_norm 673 backward: CudnnBatchNormBackward0 5063
forward: aten::_convolution 660 backward: ConvolutionBackward0 5084
forward: aten::cudnn_batch_norm 644 backward: CudnnBatchNormBackward0 5107
forward: aten::_convolution 611 backward: ConvolutionBackward0 5127
forward: aten::relu_ 605 backward: ReluBackward0 5192
forward: aten::cudnn_batch_norm 590 backward: CudnnBatchNormBackward0 5196
forward: aten::_convolution 575 backward: ConvolutionBackward0 5217
forward: aten::relu_ 569 backward: ReluBackward0 5254
forward: aten::cudnn_batch_norm 556 backward: CudnnBatchNormBackward0 5259
forward: aten::_convolution 523 backward: ConvolutionBackward0 5280
forward: aten::relu_ 514 backward: ReluBackward0 5347
forward: aten::add_ 511 backward: AddBackward0 5352
forward: aten::cudnn_batch_norm 499 backward: CudnnBatchNormBackward0 5354
forward: aten::_convolution 465 backward: ConvolutionBackward0 5376
forward: aten::relu_ 457 backward: ReluBackward0 5439
forward: aten::cudnn_batch_norm 444 backward: CudnnBatchNormBackward0 5444
forward: aten::_convolution 431 backward: ConvolutionBackward0 5466
forward: aten::relu_ 425 backward: ReluBackward0 5502
forward: aten::cudnn_batch_norm 412 backward: CudnnBatchNormBackward0 5508
forward: aten::_convolution 379 backward: ConvolutionBackward0 5528
forward: aten::relu_ 372 backward: ReluBackward0 5595
forward: aten::add_ 369 backward: AddBackward0 5600
forward: aten::cudnn_batch_norm 357 backward: CudnnBatchNormBackward0 5602
forward: aten::_convolution 322 backward: ConvolutionBackward0 5623
forward: aten::relu_ 316 backward: ReluBackward0 5687
forward: aten::cudnn_batch_norm 303 backward: CudnnBatchNormBackward0 5692
forward: aten::_convolution 290 backward: ConvolutionBackward0 5714
forward: aten::relu_ 284 backward: ReluBackward0 5750
forward: aten::cudnn_batch_norm 271 backward: CudnnBatchNormBackward0 5755
forward: aten::_convolution 238 backward: ConvolutionBackward0 5776
forward: aten::relu_ 231 backward: ReluBackward0 5843
forward: aten::add_ 228 backward: AddBackward0 5849
forward: aten::cudnn_batch_norm 216 backward: CudnnBatchNormBackward0 5851
forward: aten::_convolution 183 backward: ConvolutionBackward0 5871
forward: aten::cudnn_batch_norm 167 backward: CudnnBatchNormBackward0 5935
forward: aten::_convolution 134 backward: ConvolutionBackward0 5956
